Date,ExchangeRate,Currency
1999-01-04,1.5268,CAD
1999-01-05,1.5213,CAD
1999-01-06,1.511,CAD
1999-01-07,1.5117,CAD
1999-01-08,1.5145,CAD
1999-01-11,1.5072,CAD
1999-01-12,1.5095,CAD
1999-01-13,1.53,CAD
1999-01-14,1.5285,CAD
1999-01-15,1.529,CAD
1999-01-19,1.5302,CAD
1999-01-20,1.5226,CAD
1999-01-21,1.5155,CAD
1999-01-22,1.519,CAD
1999-01-25,1.5153,CAD
1999-01-26,1.52,CAD
1999-01-27,1.5215,CAD
1999-01-28,1.5263,CAD
1999-01-29,1.5095,CAD
1999-02-01,1.5085,CAD
1999-02-02,1.5124,CAD
1999-02-03,1.5135,CAD
1999-02-04,1.493,CAD
1999-02-05,1.488,CAD
1999-02-08,1.4875,CAD
1999-02-09,1.4935,CAD
1999-02-10,1.4943,CAD
1999-02-11,1.4889,CAD
1999-02-12,1.4925,CAD
1999-02-16,1.5,CAD
1999-02-17,1.4995,CAD
1999-02-18,1.4873,CAD
1999-02-19,1.4905,CAD
1999-02-22,1.4972,CAD
1999-02-23,1.4975,CAD
1999-02-24,1.499,CAD
1999-02-25,1.505,CAD
1999-02-26,1.509,CAD
1999-03-01,1.524,CAD
1999-03-02,1.52,CAD
1999-03-03,1.5268,CAD
1999-03-04,1.5255,CAD
1999-03-05,1.5167,CAD
1999-03-08,1.5145,CAD
1999-03-09,1.5169,CAD
1999-03-10,1.524,CAD
1999-03-11,1.522,CAD
1999-03-12,1.5235,CAD
1999-03-15,1.5286,CAD
1999-03-16,1.5285,CAD
1999-03-17,1.5222,CAD
1999-03-18,1.5186,CAD
1999-03-19,1.5158,CAD
1999-03-22,1.5078,CAD
1999-03-23,1.5065,CAD
1999-03-24,1.504,CAD
1999-03-25,1.5105,CAD
1999-03-26,1.5135,CAD
1999-03-29,1.5125,CAD
1999-03-30,1.5125,CAD
1999-03-31,1.5092,CAD
1999-04-01,1.5023,CAD
1999-04-02,1.4968,CAD
1999-04-05,1.4972,CAD
1999-04-06,1.5035,CAD
1999-04-07,1.5005,CAD
1999-04-08,1.4985,CAD
1999-04-09,1.5023,CAD
1999-04-12,1.4945,CAD
1999-04-13,1.4898,CAD
