Date,ExchangeRate,Currency
1999-01-04,1.1812,EUR
1999-01-05,1.176,EUR
1999-01-06,1.1636,EUR
1999-01-07,1.1672,EUR
1999-01-08,1.1554,EUR
1999-01-11,1.1534,EUR
1999-01-12,1.1548,EUR
1999-01-13,1.1698,EUR
1999-01-14,1.1689,EUR
1999-01-15,1.1591,EUR
1999-01-19,1.161,EUR
1999-01-20,1.1575,EUR
1999-01-21,1.1577,EUR
1999-01-22,1.1582,EUR
1999-01-25,1.1566,EUR
1999-01-26,1.1577,EUR
1999-01-27,1.1481,EUR
1999-01-28,1.1395,EUR
1999-01-29,1.1371,EUR
1999-02-01,1.1303,EUR
1999-02-02,1.1328,EUR
1999-02-03,1.1339,EUR
1999-02-04,1.1306,EUR
1999-02-05,1.1283,EUR
1999-02-08,1.1296,EUR
1999-02-09,1.13,EUR
1999-02-10,1.1331,EUR
1999-02-11,1.1303,EUR
1999-02-12,1.1282,EUR
1999-02-16,1.1189,EUR
1999-02-17,1.123,EUR
1999-02-18,1.1223,EUR
1999-02-19,1.1075,EUR
1999-02-22,1.1037,EUR
1999-02-23,1.0993,EUR
1999-02-24,1.0972,EUR
1999-02-25,1.1068,EUR
1999-02-26,1.0995,EUR
1999-03-01,1.0891,EUR
1999-03-02,1.0931,EUR
1999-03-03,1.0888,EUR
1999-03-04,1.0824,EUR
1999-03-05,1.0843,EUR
1999-03-08,1.0899,EUR
1999-03-09,1.0873,EUR
1999-03-10,1.0961,EUR
1999-03-11,1.0932,EUR
1999-03-12,1.0936,EUR
1999-03-15,1.093,EUR
1999-03-16,1.0915,EUR
1999-03-17,1.1015,EUR
1999-03-18,1.099,EUR
1999-03-19,1.0923,EUR
1999-03-22,1.0915,EUR
1999-03-23,1.0918,EUR
1999-03-24,1.0921,EUR
1999-03-25,1.0871,EUR
1999-03-26,1.0743,EUR
1999-03-29,1.0716,EUR
1999-03-30,1.0732,EUR
1999-03-31,1.0808,EUR
1999-04-01,1.0782,EUR
1999-04-02,1.0782,EUR
1999-04-05,1.0706,EUR
1999-04-06,1.0838,EUR
1999-04-07,1.0784,EUR
1999-04-08,1.0835,EUR
1999-04-09,1.0786,EUR
1999-04-12,1.0842,EUR
1999-04-13,1.078,EUR
1999-04-14,1.0779,EUR
1999-04-15,1.0717,EUR
1999-04-16,1.0688,EUR
1999-04-19,1.0608,EUR
1999-04-20,1.063,EUR
1999-04-21,1.0612,EUR
1999-04-22,1.0598,EUR
1999-04-23,1.0634,EUR
1999-04-26,1.059,EUR
1999-04-27,1.0649,EUR
1999-04-28,1.0616,EUR
1999-04-29,1.0591,EUR
1999-04-30,1.0564,EUR
1999-05-03,1.0571,EUR
1999-05-04,1.0593,EUR
1999-05-05,1.0724,EUR
1999-05-06,1.0779,EUR
1999-05-07,1.0781,EUR
1999-05-10,1.0787,EUR
1999-05-11,1.072,EUR
1999-05-12,1.0666,EUR
1999-05-13,1.0626,EUR
1999-05-14,1.065,EUR
1999-05-17,1.0672,EUR
1999-05-18,1.0672,EUR
1999-05-19,1.0641,EUR
1999-05-20,1.063,EUR
1999-05-21,1.0577,EUR
1999-05-24,1.0593,EUR
1999-05-25,1.0587,EUR
1999-05-26,1.0471,EUR
1999-05-27,1.0439,EUR
1999-05-28,1.0422,EUR
1999-06-01,1.0449,EUR
1999-06-02,1.0357,EUR
1999-06-03,1.0355,EUR
1999-06-04,1.0327,EUR
1999-06-07,1.0296,EUR
1999-06-08,1.0438,EUR
1999-06-09,1.045,EUR
1999-06-10,1.0477,EUR
1999-06-11,1.0516,EUR
1999-06-14,1.0416,EUR
1999-06-15,1.042,EUR
1999-06-16,1.0298,EUR
1999-06-17,1.0329,EUR
1999-06-18,1.0368,EUR
1999-06-21,1.0323,EUR
1999-06-22,1.0323,EUR
1999-06-23,1.0316,EUR
1999-06-24,1.0372,EUR
1999-06-25,1.0448,EUR
1999-06-28,1.0373,EUR
1999-06-29,1.0337,EUR
1999-06-30,1.031,EUR
1999-07-01,1.0236,EUR
1999-07-02,1.0244,EUR
1999-07-06,1.0249,EUR
1999-07-07,1.0224,EUR
1999-07-08,1.0198,EUR
1999-07-09,1.0186,EUR
1999-07-12,1.0139,EUR
1999-07-13,1.0176,EUR
1999-07-14,1.0215,EUR
1999-07-15,1.022,EUR
1999-07-16,1.0203,EUR
1999-07-19,1.0203,EUR
1999-07-20,1.042,EUR
1999-07-21,1.0526,EUR
1999-07-22,1.0509,EUR
1999-07-23,1.0497,EUR
1999-07-26,1.0651,EUR
1999-07-27,1.0627,EUR
1999-07-28,1.0644,EUR
1999-07-29,1.0719,EUR
1999-07-30,1.0694,EUR
1999-08-02,1.0661,EUR
1999-08-03,1.068,EUR
1999-08-04,1.0766,EUR
1999-08-05,1.0793,EUR
1999-08-06,1.077,EUR
1999-08-09,1.0694,EUR
1999-08-10,1.0752,EUR
1999-08-11,1.066,EUR
1999-08-12,1.0636,EUR
1999-08-13,1.0568,EUR
1999-08-16,1.0557,EUR
1999-08-17,1.0525,EUR
1999-08-18,1.0505,EUR
1999-08-19,1.0643,EUR
1999-08-20,1.0654,EUR
1999-08-23,1.0553,EUR
1999-08-24,1.0506,EUR
1999-08-25,1.0461,EUR
1999-08-26,1.0441,EUR
1999-08-27,1.046,EUR
1999-08-30,1.0445,EUR
1999-08-31,1.0581,EUR
1999-09-01,1.0582,EUR
1999-09-02,1.0689,EUR
1999-09-03,1.0605,EUR
1999-09-07,1.0581,EUR
1999-09-08,1.059,EUR
1999-09-09,1.0543,EUR
1999-09-10,1.0402,EUR
1999-09-13,1.04,EUR
1999-09-14,1.0408,EUR
1999-09-15,1.0385,EUR
1999-09-16,1.0418,EUR
1999-09-17,1.0399,EUR
1999-09-20,1.0408,EUR
1999-09-21,1.046,EUR
1999-09-22,1.05,EUR
1999-09-23,1.0415,EUR
